RUTU	year	Nsegment	NWD	time	AT	windS	TS	FEDR	nGulls	tending	nOM	nOtherP	dog	raptor	plane	activities	day	NWD	Bulk	Dune	Phrag	Marsh	Creek	Woodland	FT	LT	RT	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC8
0	2016	60	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	1.322534507418335	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	61	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.2418275055060578	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	62	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	63	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	64	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	65	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	66	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	67	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	68	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	69	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	2.2794554259001973	-0.0550415644794185	1.1732940391397961	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	70	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	2.2794554259001973	-0.0550415644794185	1.1732940391397961	0.7327450576008679	-0.7705957387006923	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	71	1	-0.00025448017983813463	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	0.22143680735676954	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	2.2794554259001973	-0.0550415644794185	1.1732940391397961	0.7327450576008679	-0.7705957387006923	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	72	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	73	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
